scan_set,set_id,cohort,level,encoded_bytes,encoded_sha256,raw61_bytes,size_vs_raw61_pct,scope,scope_kind,scale,transform,valid_fraction,alignment_applied,candidate_channel_bias_max,candidate_clip_fraction,candidate_delta_e00_max,candidate_delta_e00_p95,candidate_detail_correlation,candidate_detail_energy_ratio,candidate_highpass_reference_rms,candidate_highpass_rmse,candidate_linear_mae,candidate_linear_rmse,candidate_patch_count,candidate_patch_size,candidate_reference_clip_fraction,candidate_structure_loss,raw61_channel_bias_max,raw61_clip_fraction,raw61_delta_e00_max,raw61_delta_e00_p95,raw61_detail_correlation,raw61_detail_energy_ratio,raw61_highpass_reference_rms,raw61_highpass_rmse,raw61_linear_mae,raw61_linear_rmse,raw61_patch_count,raw61_patch_size,raw61_reference_clip_fraction,raw61_structure_loss,run_id
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,full_frame_box10,reduced_full_frame,0.1,identity,0.9947783483492717,True,5.8684954330639317e-05,0.0,0.021979889982400094,0.01990588397650867,0.9999999855327641,0.999937049365083,0.08076268655236503,1.4648007552888373e-05,3.370922863871018e-05,6.497684627397808e-05,600,64,0.0,0.00018137097932460278,0.012364242081934694,0.0002530561475539898,2.3715772532058637,1.9504870206605465,0.7188072412852956,0.8981278066407149,0.08076268655236503,0.05798468250833806,0.039001180240373225,0.07650022073163314,600,64,0.0,0.7179637649961269,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,full_frame_box10,reduced_full_frame,0.1,shadow_recovery_luma_p12,0.9947783483492717,True,1.9441255789988554e-07,0.8800118202773809,0.00017855851714242835,9.239468478605346e-05,0.9999896408016002,1.000070635240484,0.011095983942537727,5.051395436954787e-05,1.4634583563765633e-05,5.201670356689323e-05,600,64,0.87999986811406,0.004552453809517228,0.03135060718852073,0.6979375099687224,1.8984531182806357,1.52609508073617,0.030634514212563104,7.578082721286194,0.011095983942537727,0.08447756631744421,0.031937178550954105,0.09755309895003254,600,64,0.87999986811406,7.6133461218873775,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,full_frame_box10,reduced_full_frame,0.1,highlight_separation_luma_p88_p998,0.9947783483492717,True,0.0001961364065854993,0.8821302381901293,0.13813549175116935,0.06909450287620122,0.999984970650013,0.9967122014571111,0.047322275313242276,0.00030215741994449357,0.00019643407007408984,0.0006214962197518221,600,64,0.8820000008242871,0.006385099151391402,0.05430504691545293,0.9989465610535049,77.46249760722235,48.52570183669192,0.005910608468145455,0.2420618315520886,0.047322275313242276,0.04862308893494885,0.05457819565352866,0.18951033870914175,600,64,0.8820000008242871,1.0274883997672564,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,full_frame_box10,reduced_full_frame,0.1,negative_density_hard_print,0.9947783483492717,True,0.00017164935464017168,0.2794025621866249,0.02608196114015325,0.024717213188411462,0.9999998261617727,1.000048168723193,0.14127064199572142,8.357844369565679e-05,0.00012648059381820934,0.0002564293582682044,600,64,0.27938538953817527,0.0005916193379951376,0.04865979070923279,0.2951761206217818,9.44722107639493,5.5660939684939335,0.6404936765065977,1.3557479839042752,0.14127064199572142,0.1482572313051039,0.09622667663987956,0.1803618412572681,600,64,0.27938538953817527,1.0494553518741288,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,full_frame_box10,reduced_full_frame,0.1,negative_density_hard_shadow_recovery,0.9947783483492717,True,9.447218529063026e-05,0.2803173835148345,0.022956258941824546,0.012783358779627921,0.999999965608157,1.0000272566057107,0.16534406894199302,4.359833229409825e-05,7.119698600945663e-05,0.0001388906990842339,600,64,0.2803036453960748,0.0002636824687639305,0.020724273779533384,0.2975992500086207,5.899095126715699,2.4742511808783854,0.6735938129019433,1.1150649240099002,0.16534406894199302,0.14234655977287639,0.08305805317673867,0.17243624645890385,600,64,0.2803036453960748,0.8609111937532833,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,manual-01,native_crop,1,identity,0.9818471272786459,True,9.296482500353215e-06,0.0,0.015908660435287315,0.013890796081114012,0.9998941502927728,0.9995836824224078,0.008124082082410423,0.0001182283127587909,0.00018485695111630456,0.0005610484927354221,144,64,0.0,0.014552821052210792,0.0018745117623960108,0.0,1.6983721377097192,1.1562216527458709,0.9052007384058398,0.9676426876149493,0.008124082082410423,0.0034896750389554077,0.002698427700428476,0.006525122476271295,144,64,0.0,0.4295469941780817,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,manual-01,native_crop,1,shadow_recovery_luma_p12,0.9818471272786459,True,8.648445432262458e-06,0.8800881341766862,0.000942623034191467,0.0006967308078265192,0.9990754353635647,0.9987253312654558,0.016352196140268793,0.0007030297734558761,0.00019353212533615257,0.0007133793404824147,144,64,0.8800156099717328,0.04299298806260038,0.013078239625004973,0.7098824589849719,0.6189358420962796,0.5528332107154555,0.300337127055541,1.3966503323488475,0.016352196140268793,0.02376250509593684,0.015603369295561156,0.03590772020793876,144,64,0.8800156099717328,1.4531690356513935,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,manual-01,native_crop,1,highlight_separation_luma_p88_p998,0.9818471272786459,True,8.3388624302265e-06,0.8820048453075976,0.006027956184695985,0.004330484540817361,0.9999064642857884,0.9995994917556768,0.022977321177962466,0.0003143419405526723,7.55271940560905e-05,0.000316592216230512,144,64,0.8820013917740284,0.013680530385507143,0.0024364705640899076,0.8917110014038614,1.9975361257925972,1.5894740709681296,0.9103951939065047,0.973078173606912,0.022977321177962466,0.009615116595378092,0.0039843490849118144,0.016393275696021642,144,64,0.8820013917740284,0.4184611652902317,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,manual-01,native_crop,1,negative_density_hard_print,0.9818471272786459,True,0.00035035854221510826,0.021516665314032686,0.045649734591037903,0.040353592592249944,0.9993936548215289,0.9987496025859957,0.04824665577486912,0.0016801599113727694,0.005053257196647722,0.009038936086167949,144,64,0.02156156125043241,0.034824380765639235,0.05574138964035616,0.038711808955127665,6.838004189559342,3.946151723231141,0.4538408699667947,0.8068183948265331,0.04824665577486912,0.046241885995858684,0.06665545803726682,0.08711230933220283,144,64,0.02156156125043241,0.9584474872545532,verified-54c442b2d163eb21
adox_vlad_resolution_target,_DSC0001-_DSC0016,secondary_same_sequence_target,d003,386421982,223190af6fdab884aac0dd44603510dedb92ce662217f1b97117abf2904abfad,131670016,293.4775841448975,manual-01,native_crop,1,negative_density_hard_shadow_recovery,0.9818471272786459,True,0.00017733597425841733,0.022460631156283332,0.024447989804109907,0.019740235615020457,0.9995124555193493,0.9990276441880558,0.02719684375592673,0.0008492587562894139,0.0026419845294487054,0.004790092351654316,144,64,0.022522219171600903,0.03122637185075359,0.029291615297112838,0.042020869703358735,4.323278151117878,2.3284791382069097,0.6043212528645375,1.0055219596876328,0.02719684375592673,0.024261014939631093,0.03377875171481563,0.04560423395142681,144,64,0.022522219171600903,0.8920525910049447,verified-54c442b2d163eb21
