original_commit	rewritten_commit
5b1c6192b531e9a62c6b219144f94c193618d700	42eb148b0bcbe2a7171c8194b0a58b77f625619c
627ede69777292f052356cd6b3e200e72737ca6d	31cecc510ae6dcfe6918ffc1656d27a55855d6a5
62b5c63b5c51b171c1ded1af1505c095cfbea347	402a6c9643c09949e00c3be87a60c52f6178bc0f
66218b8244ff03000c3b77663c9ff69b6277b055	1bf422c873ef3dd6819860ed9e5f59eb608474e8
68b5a44668d3ce124b37285685bb6d74837172ec	08bea93b4e4c0b6ab74d5d557b49f1c2a4e44314
6baf76cab8997f4ad0e969ea92eb91d19b17d224	86440610c0af37070cec3c330047fc79c8e85910
6c481d51df68572dd06e847717961e58d2c5fb2d	925be21a17e05f65ecb5c3e27dfa12a610ad37c3
727fe700af097999b4d6aafb82e8e17bafcf471f	b7961319f781ce28ec3b030b4f8fc23c2e341feb
739ab911603e5367b5ce3c39a30fb9734ffa4432	ca982e9e3301c22b195d4c8ee2fa368ac16c990e
769e71c570fd105d416830b6470c850beaaf7a75	e1632ca986e0f410f5276e7038069eb56ba591b9
78300f66f9487b5b888bf8e88b68a95458939ea5	bac2a4e4d5fe1766591a5ef07f26ac1f177bd1ce
78467acbf9570d4e88eab78911ff0e5a65fad826	3342568156da1404bcd37be58776ed1fb8994f01
796805d3f968dcec61a3135278369b34eab32992	2b1725e95c44d07ea30cb6196cf6ed75282071c8
79ebff3858a82b60087bc86f1d000c40a8e61164	6cadf3ee35863f9c3f6bd9fe7398df8397780613
7bcd129fb78b00ad6ca5139e1b38894e36418a0e	3ccbda9b5a4abfa77c9382eff4b6b38e7f46a4ce
7c16684cdda726c17358b1ffef48d38e3ba9e007	f137938485ecd99c894079246e7ee9e21de43335
7cb9ee1b7fbb7844daf3bbe55f7971f09adb43bf	bf4ab9cdf3b1ae021d944e65a54f232c4b390ac9
8326a065d71a6569d2dd6c333fe2cb101284c369	a0d4157f33c53fb01049ccd02a0d2996e9de9e35
8405777571719bfc68f60fb4693d5d6fa9ad308d	65b73732a4781a894d273491b91d3fc99a2ef210
8416c7660369fa6b551992b1ca0196d97f5f9494	d7d50e67a05e0ad2dd1b6906db5ec860a6f5ac4a
85f2aead08472a0b11d52695194cd0593ff28d18	c20453ccd0d993db19a184812ddcce521856a370
8727bd39fd3a053da1cc4eea39d83c9501cb6986	8a0885487f9961179757aa17ea5d9d26d746f2a6
88a1eac641cdb49729306f1d51079605a541a0af	12b9844f72c0fe5f420e7b902935836b10b4af8d
90287c5772f427d1f7916ac75ea824c72299a99a	fba08e121b01e3b8d876d699a7be7ef1b7350ebc
9146d774cf4a182455c856256afaf08b8150652e	36b342a2afaeca1fc0ef7ca325b84e3cecd0ea4f
91d490bae22a7cc881ed4bac4ecea5b2c83648ba	496cb3e2f3de2f3e4d81920e3af38daf9ee5579c
93aab96c965a1f0c469b4b14091125427de52495	11f85028f697720db4b0e8d19eea190be4575d34
96614ae0eb572045c1193ac4ff69330e3ee35a66	be916c62106fd05d389bb65cd8a4393efb1ef189
9db6f26d477f71c93c32355a112388c7f61c2b06	7b5c3cc5b4891bab368490eb031f2e97e5317ffe
9ddea07b4aaa2d6b80b7a1f028df2fc3e027f3d0	64f9132b499cc10d7b05e510a013d177ba3392e3
9e83a74deac65878d15e5b958edff833d2444f65	22c95d323395794d415131f1c92dbd7e9cc81491
a41aaf25281b6aadfcce4417683a29e304f2491a	a41aaf25281b6aadfcce4417683a29e304f2491a
a4acd43bb182db849ffcb1cb2daa4b5bb0bcf610	0dc30f5e91aa2280c0e71998f3c916533545daca
a66a406977a4dcb1206ce646d4fc7de53a7e041d	b72c2dc3cb95c33b3b4ecdceaf6096112e78d605
